what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1416376042814
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376054350
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376054670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1416376063404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376072707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376171238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376228676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376273918
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376275801
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1416376277112
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1416376280208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376286365
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376292246
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1416376299199
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376320612
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376370486
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1416376375498
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1416376398452
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1416376408490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1416376409430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1416376411815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376428704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376788319
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1416376791405
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1416376802500
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376818036
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1416376819525
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1416376823993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376828074
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376832342
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1416376840557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376892809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1416376899515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1416376916472
