what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1414831036610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831057688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414831057770
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414831067932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831079302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831084970
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1414831086637
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1414831087029
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414831087397
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1414831091054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831097960
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414831106884
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414831115055
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414831124550
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831233750
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414831240054
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414831240274
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414831256556
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414831286168
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414831290415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414831303575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831305641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831380076
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1414831387725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414831397015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831397668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831460141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414831465944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414832412066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414832422627
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414832758592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414832759005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414832759576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414858327413
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1414858342336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414858366121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414858928164
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414858930133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892079462
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414892085830
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414892096484
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1414892135551
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1414892171549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892234126
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892538741
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414892547321
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414892552888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892568187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892594206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892619908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892639112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892640599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892721172
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.deletePreviousWord",1414892722299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414892724507
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892727086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414892807587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414892817526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414892819136
