what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415738307323
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415738308628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738311965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738314535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1415738314598
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415738314700
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415738324013
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415738325329
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415738330824
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1415738334506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738338113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738340190
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415738342351
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1415738344690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738348831
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415738353185
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1415738358196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738361822
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1415738363231
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1415738364855
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1415738380382
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1415738442660
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415738451491
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1415738505419
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1415738535064
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738549330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738832730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1415738832880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1415738832880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415738855250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415739175485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415739212973
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1415739259115
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1415739259166
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1415739262453
