what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414914776477
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414914785141
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414914829449
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414914865230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414914866651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414914868450
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915373688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414915387463
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414915430590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915445505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915623497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915648279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915667832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915683819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915699313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414915736024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414916534427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414916537189
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414916736541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414916736719
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414916745044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414916835809
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1414916906319
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1414916922542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414916942547
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414916975139
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414916976261
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414916979077
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414916983291
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1414916985407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414916989981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414916991388
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1414916996214
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414917001886
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414917006453
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1414917015173
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1414917056906
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1414917061732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414917297732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414917705746
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1414917708056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414917808892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414917892435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1414917892549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414917910839
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1414917923607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918015287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1414918112309
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1414918265558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414918338554
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1414918412476
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414918561517
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918566516
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918585331
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918682654
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918710132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918732973
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414918867727
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918873342
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414918883678
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414918888847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414919019920
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1414919194198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414919194667
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414919209656
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414919282273
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414919486563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414919552466
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414919755450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414919778321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920376025
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414920422675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920472051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920478350
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414920481232
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1414920481391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1414920529606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920547780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920577646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920595545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920621005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920645153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920656013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1414920667533
