0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:46:25 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 988
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:46:25 -0700] "GET /com.schwartz.customerProject/bootstrap/css/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:46:43 -0700] "POST /com.schwartz.customerProject/customers HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:46:43 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 1094
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:00 -0700] "DELETE /com.schwartz.customerProject/customers/19 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:00 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 991
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:01 -0700] "DELETE /com.schwartz.customerProject/customers/20 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:01 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 888
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:04 -0700] "DELETE /com.schwartz.customerProject/customers/21 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:04 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 785
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:05 -0700] "DELETE /com.schwartz.customerProject/customers/22 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [14/Nov/2014:17:47:05 -0700] "GET /com.schwartz.customerProject/customers HTTP/1.1" 200 679
